Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
697,Igor Torres,br BRA,FWMF,Fortaleza,21,2000,4,0,13,0.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,cc9b11b1
698,Jesús Trindade,uy URU,MF,Coritiba,28,1993,17,15,1312,14.6,0,1,0,0,0,3,0,0.00,0.07,0.07,0.00,0.07,0.2,0.2,1.1,1.3,0.01,0.08,0.09,0.01,0.09,Matches,066e9f5d
699,Bruno Tubarão,br BRA,FWMF,Bragantino,26,1995,9,5,453,5.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.3,0.9,0.13,0.05,0.18,0.13,0.18,Matches,5411ef4f
700,Uendel,br BRA,DF,Cuiabá,33,1988,16,15,1320,14.7,1,1,1,0,0,0,0,0.07,0.07,0.14,0.07,0.14,0.2,0.2,1.2,1.4,0.01,0.08,0.09,0.01,0.09,Matches,0bd9e045
701,Valdemir,br BRA,MF,Coritiba,24,1997,13,8,617,6.9,0,1,0,0,0,6,0,0.00,0.15,0.15,0.00,0.15,0.5,0.5,1.3,1.8,0.07,0.19,0.26,0.07,0.26,Matches,82cca681
702,Valdívia,br BRA,MFFW,Cuiabá,27,1994,27,17,1384,15.4,2,0,2,0,0,4,1,0.13,0.00,0.13,0.13,0.13,2.4,2.4,2.3,4.8,0.16,0.15,0.31,0.16,0.31,Matches,e12be458
703,Vanderlan,br BRA,DF,Palmeiras,19,2002,13,7,652,7.2,1,1,1,0,0,0,0,0.14,0.14,0.28,0.14,0.28,0.7,0.7,1.0,1.6,0.09,0.13,0.23,0.09,0.23,Matches,bd8432ff
704,Guillermo Varela,uy URU,DF,Flamengo,28,1993,5,3,261,2.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.01,0.01,0.00,0.01,Matches,5c961282
705,Eduardo Vargas,cl CHI,FW,Atlético Mineiro,32,1989,24,13,1141,12.7,5,3,3,2,2,2,0,0.39,0.24,0.63,0.24,0.47,5.2,3.6,2.3,5.9,0.41,0.18,0.59,0.29,0.46,Matches,bd603c00
706,Matheus de Vargas,br BRA,MF,Fortaleza,25,1996,11,5,418,4.6,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.9,0.9,0.3,1.2,0.19,0.06,0.26,0.19,0.26,Matches,e43a07d4
707,Jhon Vasquez,co COL,FWMF,Ceará,26,1995,13,3,414,4.6,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.7,1.0,0.07,0.15,0.21,0.07,0.21,Matches,b6832e5e
708,Rafael Vaz,br BRA,DF,Avaí,33,1988,18,16,1398,15.5,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.3,0.9,0.04,0.02,0.06,0.04,0.06,Matches,244fc074
709,Raphael Veiga,br BRA,MF,Palmeiras,26,1995,19,17,1261,14.0,3,3,1,2,3,1,0,0.21,0.21,0.43,0.07,0.29,4.6,2.3,2.3,4.6,0.33,0.16,0.50,0.16,0.33,Matches,6e5a3bc7
710,Emiliano Velázquez,uy URU,DF,Santos,27,1994,9,5,543,6.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,5efb80d5
711,Fausto Vera,ar ARG,MF,Corinthians,21,2000,18,16,1303,14.5,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,0.2,1.2,0.07,0.01,0.08,0.07,0.08,Matches,8b3b381b
712,Gabriel Veron,br BRA,FWMF,Palmeiras,19,2002,12,7,569,6.3,1,3,1,0,0,0,0,0.16,0.47,0.63,0.16,0.63,0.8,0.8,1.1,1.9,0.13,0.17,0.30,0.13,0.30,Matches,6bc49da7
713,João Vialle,br BRA,DF,Atl Paranaense,19,2002,1,0,24,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,c63a8bf0
714,João Victor,br BRA,MF,Ceará,17,2004,3,0,16,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.47,0.00,0.47,0.47,0.47,Matches,e78d763e
715,João Victor,br BRA,DF,Corinthians,23,1998,7,5,482,5.4,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches,d60cf08d
