Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Matches,-9999
555,Lucas Piton,br BRA,DFFW,Corinthians,21,2000,19.7,1321,42,325,629,381,25,1321,14,28,50.0,25,12,820,43,Matches,defce7f1
556,Isidro Pitta,py PAR,FW,Juventude,22,1999,26.8,755,22,55,339,375,109,754,20,43,46.5,58,27,562,143,Matches,e9fc7295
557,Luan Polli,br BRA,GK,Atl Goianiense,28,1993,2.0,68,62,68,0,0,0,68,0,0,,0,0,20,0,Matches,96aa89c4
558,Diego Porfirio,br BRA,DF,Coritiba,22,1999,5.0,303,15,93,147,66,4,303,3,11,27.3,8,1,161,12,Matches,8512d219
559,William Pottker,br BRA,FWMF,Avaí,28,1993,21.9,1078,19,115,493,491,83,1076,52,106,49.1,84,39,826,130,Matches,214a16c5
560,Bruno Praxedes,br BRA,MF,Bragantino,19,2002,6.5,341,3,25,196,126,17,341,9,15,60.0,9,10,263,34,Matches,5dd520a8
561,Erick Pulgar,cl CHI,MF,Flamengo,28,1994,3.9,322,12,72,208,44,0,322,2,3,66.7,1,1,222,2,Matches,4611e028
562,Jean Pyerre,br BRA,MF,Avaí,23,1998,8.4,674,1,63,424,194,6,674,10,18,55.6,12,9,523,29,Matches,b41dc073
563,Du Queiroz,br BRA,MF,Corinthians,22,2000,28.9,1740,21,288,1091,380,35,1740,36,64,56.3,64,29,1292,78,Matches,8440b0cb
564,Igor Rabello,br BRA,DF,Atlético Mineiro,26,1995,6.7,479,45,213,249,20,9,479,0,0,,0,1,338,2,Matches,48048864
565,Rafael,br BRA,DF,Botafogo (RJ),31,1990,3.1,186,7,60,89,39,4,186,4,6,66.7,4,2,100,4,Matches,9a1f2e1c
566,Caio Rafael,br BRA,FW,Ceará,17,2004,0.4,17,1,2,3,12,2,17,1,2,50.0,0,0,14,4,Matches,b7cda839
567,Léo Rafael,br BRA,FWMF,Ceará,20,2001,1.0,60,1,4,35,21,3,60,1,2,50.0,0,1,51,5,Matches,ef1df474
568,Zé Rafael,br BRA,MF,Palmeiras,28,1993,28.5,1551,36,322,912,355,59,1551,37,68,54.4,51,51,1038,65,Matches,634b1413
569,Rafinha,br BRA,DF,São Paulo,36,1985,28.5,2246,95,638,1354,266,5,2246,3,5,60.0,15,0,1583,21,Matches,d003e213
570,Rafinha,au AUS,FWMF,Juventude,19,2002,4.2,182,1,29,75,80,13,182,7,16,43.8,13,6,121,17,Matches,a8f19786
571,Eric Ramires,br BRA,MFFW,Bragantino,21,2000,12.9,691,21,112,392,199,15,691,9,20,45.0,27,12,435,25,Matches,37faa4cb
572,Lucas Ramires,br BRA,DF,Juventude,19,2002,0.3,13,3,7,5,1,0,13,0,0,,0,0,11,0,Matches,32395c13
573,Ramon,br BRA,DF,Bragantino,20,2001,8.0,534,27,162,249,127,7,534,11,21,52.4,15,9,270,20,Matches,fdf88bc0
574,Lucas Ramos,br BRA,MFFW,Internacional,21,2001,0.9,43,1,12,23,10,0,43,1,2,50.0,0,1,26,1,Matches,c0163100
575,Rafael Ramos,pt POR,DF,Corinthians,27,1995,14.5,987,39,314,456,231,11,987,17,28,60.7,7,4,604,24,Matches,f8ddf51c
576,Raniele,br BRA,MFDF,Avaí,25,1996,31.3,1958,200,689,1097,196,31,1958,38,64,59.4,40,23,1258,30,Matches,a025365f
577,Wellington Rato,br BRA,FWMF,Atl Goianiense,29,1992,30.9,1513,35,207,683,639,81,1513,36,60,60.0,51,34,1079,157,Matches,598917cf
578,Raul,br BRA,MF,Bragantino,25,1996,27.5,1845,90,543,1147,173,2,1845,15,28,53.6,28,19,1235,16,Matches,c2f9cf65
579,Pedro Raul,br BRA,FW,Goiás,25,1996,30.5,826,47,76,332,431,157,823,21,42,50.0,91,37,606,135,Matches,ed074559
580,Leonardo Realpe,ec ECU,DF,Bragantino,20,2001,7.4,425,59,227,187,14,3,425,3,3,100.0,3,0,254,1,Matches,57701cbd
581,Régis,br BRA,MF,Coritiba,29,1992,8.5,351,7,38,168,148,23,351,5,13,38.5,22,10,221,42,Matches,0e2331f3
582,Reinaldo,br BRA,DFFW,São Paulo,32,1989,16.3,1027,31,172,438,432,23,1026,17,34,50.0,25,17,568,47,Matches,ab3edc87
583,César Reis,br BRA,GK,Juventude,26,1995,24.3,766,649,763,4,0,0,766,0,0,,1,1,270,0,Matches,76d4135b
584,Renan,br BRA,DF,Bragantino,19,2002,3.2,180,36,110,71,3,0,180,2,4,50.0,4,1,100,0,Matches,80c738be
585,Robert Renan,br BRA,DF,Corinthians,18,2003,10.0,628,86,322,299,11,1,628,2,2,100.0,9,3,413,0,Matches,168a2e81
586,Renato,br BRA,DFMF,Avaí,32,1990,11.3,573,24,130,252,196,10,573,8,17,47.1,20,10,371,33,Matches,8fe5bdcd
587,Renê,br BRA,DF,Internacional,29,1992,27.5,2066,101,645,1059,388,12,2066,17,32,53.1,26,16,1257,28,Matches,d000ffc7
